timestamp,experiment_id,trial,injected_fault_domain,temperature_c,sensor_noise,power_deviation_percent,communication_errors,control_execution_us,expected_status,observed_status,expected_action,observed_action,expected_system_state,observed_system_state,safe_mode_latched,pick_allowed,move_allowed,place_allowed,diagnostic_score,diagnostic_latency_us,detection_correct,result
2026-09-18T11:29:53.144,D05_COMM_FAILURE,5,COMMUNICATION,42.0,3.0,4.0,5,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,10.2,True,PASS
2026-09-18T11:29:53.144,D05_COMM_FAILURE,6,COMMUNICATION,42.0,3.0,4.0,5,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,15.0,True,PASS
2026-09-18T11:29:53.144,D05_COMM_FAILURE,7,COMMUNICATION,42.0,3.0,4.0,5,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,10.0,True,PASS
2026-09-18T11:29:53.144,D05_COMM_FAILURE,8,COMMUNICATION,42.0,3.0,4.0,5,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,9.4,True,PASS
2026-09-18T11:29:53.144,D05_COMM_FAILURE,9,COMMUNICATION,42.0,3.0,4.0,5,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,16.0,True,PASS
2026-09-18T11:29:53.145,D05_COMM_FAILURE,10,COMMUNICATION,42.0,3.0,4.0,5,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,65.3,True,PASS
2026-09-18T11:29:53.145,D06_TIMING_FAULT,1,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,25.7,True,PASS
2026-09-18T11:29:53.146,D06_TIMING_FAULT,2,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,18.1,True,PASS
2026-09-18T11:29:53.146,D06_TIMING_FAULT,3,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,12.4,True,PASS
2026-09-18T11:29:53.146,D06_TIMING_FAULT,4,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,9.8,True,PASS
2026-09-18T11:29:53.146,D06_TIMING_FAULT,5,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,10.4,True,PASS
2026-09-18T11:29:53.146,D06_TIMING_FAULT,6,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,18.1,True,PASS
2026-09-18T11:29:53.146,D06_TIMING_FAULT,7,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,10.9,True,PASS
2026-09-18T11:29:53.147,D06_TIMING_FAULT,8,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,16.8,True,PASS
2026-09-18T11:29:53.147,D06_TIMING_FAULT,9,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,10.0,True,PASS
2026-09-18T11:29:53.147,D06_TIMING_FAULT,10,TIMING,42.0,3.0,4.0,0,100000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,10.0,True,PASS
